,ID,FULL NAME,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_NAME,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,PPG,APG,RBG,Overall Score
377,2056,"Brezec, Primoz",1979-10-02T00:00:00,Union Olimpija,Slovenia,Union Olimpija/Slovenia,85.0,255.0,8,Center,Inactive,Bobcats,2000,1,27,7.2,0.5,3.9,4.2
416,1629650,"Brown, Moses",1999-10-13T00:00:00,UCLA,USA,UCLA/USA,86.0,245.0,1,Center,Active,Thunder,Undrafted,Undrafted,Undrafted,6.6,0.3,6.5,4.68
460,76305,"Burleson, Tom",1952-02-24T00:00:00,North Carolina State,USA,North Carolina State/USA,86.0,225.0,6,Center,Inactive,SuperSonics,1974,1,3,9.4,1.3,6.3,6.04
533,76362,"Cartwright, Bill",1957-07-30T00:00:00,San Francisco,USA,San Francisco/USA,85.0,245.0,14,Center,Inactive,Knicks,1979,1,3,13.2,1.4,6.3,7.59
547,76370,"Cavenall, Ron",1959-04-30T00:00:00,Texas Southern,USA,Texas Southern/USA,85.0,230.0,1,Center,Inactive,Knicks,Undrafted,Undrafted,Undrafted,1.4,0.3,2.9,1.52
554,76375,"Chamberlain, Wilt",1936-08-21T00:00:00,Kansas,USA,Kansas/USA,85.0,250.0,13,Center,Inactive,Warriors,1959,None,None,30.1,4.4,22.9,20.23
597,1569,"Closs, Keith",1976-04-03T00:00:00,Central Connecticut State,USA,Central Connecticut State/USA,87.0,212.0,3,Center,Inactive,Clippers,Undrafted,Undrafted,Undrafted,3.9,0.3,2.9,2.52
702,687,"Cvetkovic, Rastko",1970-06-22T00:00:00,Crvena zvezda,Serbia,Crvena zvezda/Serbia,85.0,260.0,0,Center,Inactive,Nuggets,Undrafted,Undrafted,Undrafted,0.7,0.2,0.8,0.58
811,124,"Divac, Vlade",1968-02-03T00:00:00,Partizan,Serbia,Partizan/Serbia,85.0,260.0,16,Center,Inactive,Lakers,1989,1,26,11.8,3.1,8.2,8.11
815,76583,"Donaldson, James",1957-08-16T00:00:00,Washington State,USA,Washington State/USA,86.0,275.0,13,Center,Inactive,Mavericks,1979,4,73,8.6,0.8,7.8,6.02
838,1068,"Dreiling, Greg",1963-11-07T00:00:00,Kansas,USA,Kansas/USA,85.0,265.0,9,Center,Inactive,Pacers,1986,2,26,2.1,0.4,2.1,1.59
846,76604,"Drollinger, Ralph",1954-04-20T00:00:00,UCLA,USA,UCLA/USA,86.0,250.0,0,Center,Inactive,Mavericks,1978,5,105,2.5,2.3,3.2,2.65
882,76631,"Eaton, Mark",1957-01-24T00:00:00,UCLA,USA,UCLA/USA,88.0,275.0,10,Center,Inactive,Jazz,1982,4,72,6.0,1.0,7.9,5.07
898,229,"Edwards, James",1955-11-22T00:00:00,Washington,USA,Washington/USA,85.0,252.0,18,Center,Inactive,Pacers,1977,3,46,12.7,1.3,5.1,7.0
957,1629605,"Fall, Tacko",1995-12-10T00:00:00,Central Florida,Senegal,Central Florida/Senegal,89.0,311.0,1,Center,Active,Celtics,Undrafted,Undrafted,Undrafted,2.9,0.2,2.4,1.94
984,76709,"Ferreira, Rolando",1964-05-24T00:00:00,Houston,USA,Houston/USA,85.0,240.0,0,Forward,Inactive,Trail Blazers,1988,2,26,0.8,0.1,1.1,0.6800000000000002
989,201178,"Fesenko, Kyrylo",1986-12-24T00:00:00,Cherkaski,Ukraine,Cherkaski/Ukraine,85.0,280.0,5,Center,Inactive,Jazz,2007,2,38,2.3,0.3,2.0,1.6099999999999999
993,76715,"Fillmore, Greg",1947-03-07T00:00:00,Cheyney,USA,Cheyney/USA,85.0,240.0,1,Center,Inactive,Knicks,1970,8,136,2.4,0.4,2.2,1.7400000000000002
1123,600014,"Gilmore, Artis",1948-09-21T00:00:00,Jacksonville,USA,Jacksonville/USA,86.0,240.0,11,Center,Inactive,Bulls,1971,7,117,17.1,2.0,10.1,10.47
1134,203497,"Gobert, Rudy",1992-06-26T00:00:00,Cholet,France,Cholet/France,85.0,258.0,7,Center,Active,Jazz,2013,1,27,14.5,1.3,13.4,10.21
1228,76901,"Gudmundsson, Petur",1958-10-30T00:00:00,Washington,USA,Washington/USA,86.0,260.0,3,Center,Inactive,Spurs,1981,3,61,4.6,1.0,3.8,3.2799999999999994
1239,2775,"Ha, Ha",1985-08-04T00:00:00,Yonsei,South Korea,Yonsei/South Korea,87.0,305.0,2,Center,Inactive,Trail Blazers,2004,2,46,1.5,0.1,1.5,1.08
1242,201632,"Haddadi, Hamed",1985-05-19T00:00:00,Saba Battery,Iran,Saba Battery/Iran,86.0,265.0,5,Center,Inactive,Grizzlies,Undrafted,Undrafted,Undrafted,2.2,0.3,2.5,1.7200000000000002
1252,76919,"Halbrook, Harvey",1933-01-30T00:00:00,Oregon State,USA,Oregon State/USA,87.0,235.0,1,Center,Inactive,Nationals,1956,None,None,5.5,0.4,6.6,4.3
1267,676,"Hamilton, Thomas",1975-04-03T00:00:00,Pittsburgh,USA,Pittsburgh/USA,86.0,330.0,2,Center,Inactive,Rockets,Undrafted,Undrafted,Undrafted,3.2,0.5,3.4,2.45
1334,201150,"Hawes, Spencer",1988-04-28T00:00:00,Washington,USA,Washington/USA,85.0,245.0,10,Forward-Center,Inactive,76ers,2007,1,10,8.7,1.9,5.7,5.76
1390,201579,"Hibbert, Roy",1986-12-11T00:00:00,Georgetown,USA,Georgetown/USA,86.0,270.0,9,Center,Inactive,Pacers,2008,1,17,10.0,1.3,6.3,6.279999999999999
1445,77057,"Horford, Tito",1966-01-19T00:00:00,Miami,USA,Miami/USA,85.0,245.0,2,Center,Inactive,Bucks,1988,2,39,1.5,0.1,1.3,1.02
1470,1572,"Huffman, Nate",1975-04-02T00:00:00,Central Michigan,USA,Central Michigan/USA,85.0,245.0,0,Center,Inactive,Raptors,Undrafted,Undrafted,Undrafted,3.3,0.7,3.3,2.52
1496,980,"Ilgauskas, Zydrunas",1975-06-05T00:00:00,Atletas Kaunas,Lithuania,Atletas Kaunas/Lithuania,87.0,260.0,13,Center,Inactive,Cavaliers,1996,1,20,13.0,1.1,7.3,7.720000000000001
1497,101148,"Ilic, Mile",1984-06-02T00:00:00,FMP,Serbia,FMP/Serbia,85.0,255.0,1,Center,Inactive,Nets,2005,2,43,0.0,0.0,0.2,0.06
1544,1744,"James, Jerome",1975-11-17T00:00:00,Florida A&M,USA,Florida A&M/USA,85.0,285.0,9,Center,Inactive,SuperSonics,1998,2,36,4.3,0.3,3.1,2.74
1703,2435,"Kasun, Mario",1980-04-05T00:00:00,Skyliners Frankfurt,Croatia,Skyliners Frankfurt/Croatia,85.0,260.0,1,Center,Inactive,Magic,2002,2,40,2.7,0.2,2.6,1.9200000000000002
1754,1101,"King, Rich",1969-04-04T00:00:00,Nebraska,USA,Nebraska/USA,86.0,260.0,3,Center,Inactive,SuperSonics,1991,1,14,1.9,0.3,1.0,1.15
1783,1628436,"Kornet, Luke",1995-07-15T00:00:00,Vanderbilt,USA,Vanderbilt/USA,86.0,250.0,3,Forward-Center,Active,Bulls,Undrafted,Undrafted,Undrafted,2.0,0.3,1.2,1.25
1838,968,"Lauderdale, Priest",1973-08-31T00:00:00,Peristeri,USA,Peristeri/USA,88.0,325.0,1,Center,Inactive,Nuggets,1996,1,28,3.4,0.4,1.9,2.05
1878,77370,"Leonard, Gary",1967-02-16T00:00:00,Missouri,USA,Missouri/USA,85.0,250.0,2,Center,Inactive,Timberwolves,1989,2,34,1.4,0.1,1.1,0.9199999999999999
1995,1626246,"Marjanovic, Boban",1988-08-15T00:00:00,Crvena zvezda,Serbia,Crvena zvezda/Serbia,88.0,290.0,5,Center,Active,Mavericks,Undrafted,Undrafted,Undrafted,4.4,0.2,3.9,2.99
2141,1626257,"Mejri, Salah",1986-06-15T00:00:00, ,Tunisia,Real Madrid/Tunisia,86.0,235.0,4,Center,Inactive,Mavericks,Undrafted,Undrafted,Undrafted,3.4,0.5,4.0,2.71
2252,202389,"Mozgov, Timofey",1986-07-16T00:00:00, ,Russia,Khimki/Russia,85.0,275.0,9,Center,Inactive,Magic,Undrafted,Undrafted,Undrafted,6.8,0.6,4.9,4.37
2262,49,"Muresan, Gheorghe",1971-02-14T00:00:00,Pau Orthez,Romania,Pau Orthez/Romania,91.0,303.0,5,Center,Inactive,Bullets,1993,2,30,9.8,0.5,6.4,5.99
2279,87,"Mutombo, Dikembe",1966-06-25T00:00:00,Georgetown,Congo,Georgetown/Congo,86.0,260.0,18,Center,Inactive,Nuggets,1991,1,4,9.8,1.0,10.3,7.3100000000000005
2312,77704,"Nessley, Martin",1965-02-16T00:00:00,Duke,USA,Duke/USA,86.0,260.0,0,Forward,Inactive,Clippers,1987,6,116,1.1,0.4,1.9,1.13
2317,77707,"Nevitt, Chuck",1959-06-13T00:00:00,North Carolina State,USA,North Carolina State/USA,89.0,217.0,8,Center,Inactive,Pistons,1982,3,63,1.6,0.1,1.5,1.12
2363,406,"O'Neal, Shaquille",1972-03-06T00:00:00,Louisiana State,USA,Louisiana State/USA,85.0,325.0,18,Center,Inactive,Lakers,1992,1,1,23.7,2.5,10.9,13.5
2374,1628,"Ogg, Alan",1967-07-05T00:00:00,Alabama-Birmingham,USA,Alabama-Birmingham/USA,86.0,240.0,2,Center,Inactive,Heat,Undrafted,Undrafted,Undrafted,2.2,0.2,1.7,1.4500000000000002
2426,77794,"Palmer, Walter",1968-10-23T00:00:00,Dartmouth,USA,Dartmouth/USA,85.0,215.0,1,Center,Inactive,Jazz,1990,2,33,2.1,0.2,1.4,1.32
2427,1627834,"Papagiannis, Georgios",1997-07-03T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,85.0,240.0,1,Center,Inactive,Kings,2016,1,13,4.1,0.7,3.2,2.8099999999999996
2429,305,"Parish, Robert",1953-08-30T00:00:00,Centenary-Louisiana,USA,Centenary-Louisiana/USA,85.0,244.0,20,Center,Inactive,Celtics,1976,1,8,14.5,1.4,9.1,8.950000000000001
2458,77823,"Payne, Tom",1950-11-19T00:00:00,Kentucky,USA,Kentucky/USA,86.0,240.0,0,Center,Inactive,Hawks,Undrafted,Undrafted,Undrafted,4.1,0.5,2.4,2.51
2473,200785,"Perovic, Kosta",1985-02-19T00:00:00,Partizan,Serbia,Partizan/Serbia,86.0,240.0,1,Center,Inactive,Warriors,2006,2,38,1.4,0.1,1.9,1.16
2505,77863,"Piotrowski, Tom",1960-10-17T00:00:00,La Salle,USA,La Salle/USA,85.0,240.0,0,Center,Inactive,Trail Blazers,1983,3,62,1.7,0.3,0.9,1.04
2508,202353,"Pleiss, Tibor",1989-11-02T00:00:00,FC Barcelona,Germany,FC Barcelona/Germany,87.0,256.0,1,Center,Inactive,Jazz,2010,2,31,2.0,0.2,1.3,1.25
2513,1627751,"Poeltl, Jakob",1995-10-15T00:00:00,Utah,Austria,Utah/Austria,85.0,245.0,4,Center,Active,Spurs,2016,1,9,7.1,1.8,7.8,5.72
2535,204001,"Porzingis, Kristaps",1995-08-02T00:00:00,Cajasol Sevilla,Latvia,Cajasol Sevilla/Latvia,87.0,240.0,4,Forward-Center,Active,Mavericks,2015,1,4,19.7,1.3,8.6,10.85
2560,2038,"Przybilla, Joel",1979-10-10T00:00:00,Minnesota,USA,Minnesota/USA,85.0,245.0,13,Center,Inactive,Trail Blazers,2000,1,9,3.9,0.4,6.2,3.54
2671,764,"Robinson, David",1965-08-06T00:00:00,Navy,USA,Navy/USA,85.0,250.0,13,Center,Inactive,Spurs,1987,1,1,21.1,2.5,10.6,12.370000000000001
2702,78014,"Rollins, Tree",1955-06-16T00:00:00,Clemson,USA,Clemson/USA,85.0,235.0,17,Center,Inactive,Hawks,1977,1,14,5.4,0.6,5.8,4.08
2745,717,"Sabonis, Arvydas",1964-12-19T00:00:00,Real Madrid,Lithuania,Real Madrid/Lithuania,87.0,292.0,7,Center,Inactive,Trail Blazers,1986,1,24,12.0,2.1,7.3,7.620000000000001
2755,78055,"Sampson, Ralph",1960-07-07T00:00:00,Virginia,USA,Virginia/USA,88.0,228.0,8,Center,Inactive,Rockets,1983,1,1,15.4,2.3,8.8,9.49
2761,2091,"Santiago, Daniel",1976-06-24T00:00:00,St. Vincent,Puerto Rico,St. Vincent/Puerto Rico,85.0,256.0,4,Center,Inactive,Bucks,Undrafted,Undrafted,Undrafted,3.4,0.3,2.1,2.08
2784,101195,"Schenscher, Luke",1981-12-31T00:00:00,Georgia Tech,USA,Georgia Tech/USA,85.0,265.0,1,Center,Inactive,Bulls,Undrafted,Undrafted,Undrafted,1.8,0.3,1.7,1.32
2786,368,"Schintzius, Dwayne",1968-10-14T00:00:00,Florida,USA,Florida/USA,86.0,285.0,7,Center,Inactive,Nets,1990,1,24,2.7,0.4,2.5,1.9500000000000002
2913,78188,"Smith, Elmore",1949-05-09T00:00:00,Kentucky State,USA,Kentucky State/USA,85.0,250.0,7,Center,Inactive,Lakers,1971,1,3,13.4,1.4,10.6,8.96
2942,22,"Smits, Rik",1966-08-23T00:00:00,Marist,USA,Marist/USA,88.0,265.0,11,Center,Inactive,Pacers,1988,1,2,14.8,1.4,6.1,8.17
2982,1735,"Stepania, Vladimir",1976-05-08T00:00:00,Union Olimpija,Georgia,Union Olimpija/Georgia,85.0,255.0,6,Center,Inactive,Heat,1998,1,27,4.1,0.3,4.4,3.05
3029,1743,"Sundov, Bruno",1980-02-10T00:00:00,Split,Croatia,Split/Croatia,86.0,260.0,7,Center,Inactive,Pacers,1998,2,35,1.7,0.2,1.0,1.04
3040,2741,"Swift, Robert",1985-12-03T00:00:00,Bakersfield HS (CA),USA,Bakersfield HS (CA)/USA,85.0,270.0,4,Center,Inactive,Thunder,2004,1,12,4.3,0.2,3.9,2.95
3053,204002,"Tavares, Edy",1992-03-22T00:00:00,Gran Canaria,Cabo Verde,Gran Canaria/Cabo Verde,87.0,265.0,2,Center,Inactive,Hawks,2014,2,43,2.5,0.3,2.5,1.84
3076,201934,"Thabeet, Hasheem",1987-02-16T00:00:00,Connecticut,Tanzania,Connecticut/Tanzania,87.0,263.0,4,Center,Inactive,Grizzlies,2009,1,2,2.2,0.1,2.7,1.7200000000000002
3149,2456,"Trybanski, Cezary",1979-09-22T00:00:00,Znicz Pruszkow,Poland,Znicz Pruszkow/Poland,86.0,240.0,2,Center,Inactive,Grizzlies,Undrafted,Undrafted,Undrafted,0.7,0.0,0.7,0.49
3150,2054,"Tsakalidis, Jake",1979-06-10T00:00:00,AEK Athens,Greece,AEK Athens/Greece,86.0,290.0,7,Center,Inactive,Suns,2000,1,25,4.8,0.3,3.9,3.1799999999999997
3203,78407,"Vanos, Nick",1963-04-13T00:00:00,Santa Clara,USA,Santa Clara/USA,85.0,255.0,1,Center,Inactive,Suns,1985,2,32,3.3,0.9,3.5,2.64
3205,2237,"Varda, Ratko",1979-05-06T00:00:00,Partizan,Bosnia and Herzegovina,Partizan/Bosnia and Herzegovina,85.0,265.0,1,Center,Inactive,Pistons,Undrafted,Undrafted,Undrafted,5.0,0.0,1.0,2.3
3305,78481,"Webster, Marvin",1952-04-13T00:00:00,Morgan State,USA,Morgan State/USA,85.0,225.0,8,Center,Inactive,Knicks,1975,1,3,7.1,1.2,7.0,5.3
3317,78492,"Wenstrom, Matt",1970-11-04T00:00:00,North Carolina,USA,North Carolina/USA,85.0,250.0,0,Center,Inactive,Celtics,Undrafted,Undrafted,Undrafted,1.6,0.0,1.1,0.9700000000000002
3468,2254,"Woods, Loren",1978-06-21T00:00:00,Arizona,USA,Arizona/USA,86.0,260.0,6,Center,Inactive,Timberwolves,2001,2,45,2.6,0.3,3.2,2.09
3488,1007,"Wright, Luther",1971-09-22T00:00:00,Seton Hall,USA,Seton Hall/USA,86.0,270.0,0,Center,Inactive,Jazz,1993,1,18,1.3,0.0,0.7,0.73
3493,2397,Yao Ming,1980-09-12T00:00:00,Shanghai,China,Shanghai/China,90.0,310.0,8,Center,Inactive,Rockets,2002,1,1,19.0,1.6,9.2,10.84
3507,1937,"Young, Tim",1976-02-06T00:00:00,Stanford,USA,Stanford/USA,86.0,270.0,0,Center,Inactive,Warriors,1999,2,56,2.2,0.2,1.4,1.36
3520,78647,"Zoet, Jim",1953-12-30T00:00:00,Kent State,USA,Kent State/USA,85.0,240.0,0,Center,Inactive,Pistons,Undrafted,Undrafted,Undrafted,0.3,0.1,1.1,0.48
